EventNumber DecayParticle1_ime DecayParticle1_bozon DecayParticle1_mass DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle1_E DecayParticle1_pt DecayParticle2_ime DecayParticle2_bozon DecayParticle2_mass DecayParticle2_px DecayParticle2_py DecayParticle2_pz DecayParticle2_E DecayParticle2_pt
507 b 0 4.18 14.319 3.668 13.72 20.5961 14.7813 b 0 4.18 24.381 9.432 25.48 36.7437 26.1418
508 b 0 4.18 -27.759 2.53 8.26 29.3711 27.8741 b 0 4.18 -20.941 8.47 33.04 40.2415 22.5891
509 b 0 4.18 31.68 -1.952 -5.368 32.4611 31.7401 b 0 4.18 47.52 -10.248 -6.832 49.2678 48.6125
510 b 0 4.18 -14.542 1.89 12.597 19.7787 14.6643 b 0 4.18 -51.558 5.11 12.103 53.3694 51.8106
511 b 0 4.18 -76.818 -2.547 0.808 76.978 76.8602 b 0 4.18 -5.782 -82.353 19.392 84.9057 82.5557
512 b 0 4.18 -63.252 2.16 1.484 63.4441 63.2889 b 0 4.18 -12.048 15.84 35.616 41.0126 19.9013
513 b 0 4.18 57.834 2.592 -9.465 58.8094 57.8921 b 0 4.18 13.566 62.208 -53.635 83.355 63.67
514 b 0 4.18 68.628 0.992 -7.552 69.1758 68.6352 b 0 4.18 13.072 11.408 -86.848 88.6627 17.3499
515 b 0 4.18 -29.158 12.236 -0.482 31.9001 31.6213 b 0 4.18 -18.642 19.964 -47.718 55.1413 27.3146
516 b 0 4.18 -30.634 -6.215 -21.78 38.3263 31.2581 b 0 4.18 -27.166 -50.285 -38.72 69.1613 57.1539
517 b 0 4.18 -75.36 2.556 0.367 75.52 75.4033 b 0 4.18 -3.14 82.644 36.333 90.4292 82.7036
518 b 0 4.18 17.533 9.09 -0.849 20.2046 19.7493 b 0 4.18 2.167 81.81 -84.051 117.387 81.8387
519 b 0 4.18 -13.824 2.79 -1.681 14.8049 14.1027 b 0 4.18 -11.776 53.01 -2.419 54.5166 54.3022
520 b 0 4.18 -74.547 0.128 0 74.6642 74.5471 b 0 4.18 -0.752998 12.672 61.7 63.1309 12.6944
521 b 0 4.18 -16.807 27.552 -6.88 33.2625 32.2736 b 0 4.18 -17.493 39.648 -61.92 75.6936 43.3355
522 b 0 4.18 32.505 34.52 3.845 47.7542 47.4152 b 0 4.18 26.595 51.78 73.055 93.5038 58.2105
523 b 0 4.18 15.447 9.477 -41.796 45.7471 18.1225 b 0 4.18 65.853 25.623 -35.604 79.2355 70.6623
524 b 0 4.18 11.985 27.142 23.056 37.8071 29.6703 b 0 4.18 67.915 39.058 29.344 83.7647 78.3452
525 b 0 4.18 4.24 0.061 11.59 13.03 4.24044 b 0 4.18 1.06 6.039 49.41 49.9641 6.13132
526 W+ 1 80.4 -9.393 1.316 -0 80.9575 9.48474 W- 1 80.4 -0.707 17.484 -46.8 94.6604 17.4983
527 W+ 1 80.4 12.255 -1.634 -0.759 81.3486 12.3635 W- 1 80.4 0.645 -80.066 -24.541 116.092 80.0686
528 W+ 1 80.4 43.582 13.2 -2.241 92.4273 45.5371 W- 1 80.4 13.018 52.8 -72.459 121.127 54.3811
529 b 0 4.18 -77.343 3.88 1.48 77.5671 77.4403 b 0 4.18 -11.557 73.72 17.02 76.6509 74.6204
530 tau+ 0 1.77 -32.922 -17.016 5.768 37.5474 37.0594 tau- 0 1.77 -20.178 -53.884 35.432 67.5958 57.5381
531 b 0 4.18 -1.586 10.332 -13.702 17.7337 10.453 b 0 4.18 -4.514 75.768 -8.398 76.4798 75.9023
532 W+ 1 80.4 -36.765 -3.29 7.256 88.7654 36.9119 W- 1 80.4 -27.735 -6.11 83.444 119.305 28.4
533 b 0 4.18 -43.792 10.83 7.021 45.8453 45.1113 b 0 4.18 -20.608 61.37 34.279 73.3723 64.7377
534 b 0 4.18 -60.76 -3.35 12.95 62.3552 60.8523 b 0 4.18 -26.04 -63.65 38.85 79.0961 68.7707
535 b 0 4.18 -22.54 12.275 2.496 26.1234 25.6657 b 0 4.18 -75.46 36.825 2.304 84.1016 83.966
536 b 0 4.18 27.664 -8.28 -1.556 29.219 28.8766 b 0 4.18 45.136 -5.52 -76.244 88.8727 45.4723
537 b 0 4.18 -0.417 24.585 -6.27 25.7173 24.5885 b 0 4.18 -41.283 49.915 -3.23 64.99 64.7749
538 Z 1 91.2 -50.652 2.78 3.808 104.428 50.7282 Z 1 91.2 -24.948 52.82 9.792 108.746 58.4154
539 W+ 1 80.4 29.127 -5.25 -11.556 86.4502 29.5964 W- 1 80.4 10.773 -29.75 -84.744 121.024 31.6405
540 tau+ 0 1.77 -29.22 1.012 -21.197 36.1563 29.2375 tau- 0 1.77 -68.18 3.388 -23.903 72.3497 68.2641
541 b 0 4.18 8.265 -18.122 27.44 34.1635 19.9178 b 0 4.18 35.235 -26.078 41.16 60.2759 43.8357
542 b 0 4.18 -44.595 -0.999 -9.72 45.8439 44.6062 b 0 4.18 -54.505 -98.901 -8.28 113.306 112.926
543 b 0 4.18 -33.6 4.048 2.308 34.1781 33.843 b 0 4.18 -33.6 4.752 55.392 65.0945 33.9344
544 b 0 4.18 37.133 -4.077 -0.51 37.5927 37.3561 b 0 4.18 15.167 -11.023 -24.99 31.5201 18.7495
545 b 0 4.18 -2.059 -3.024 -4.278 7.01126 3.65842 b 0 4.18 -0.841 -47.376 -14.322 49.6768 47.3835
546 b 0 4.18 -11.152 0.15 -25.926 28.531 11.153 b 0 4.18 -54.448 0.45 -18.774 57.7471 54.4499
547 W+ 1 80.4 42.594 0.15 -0.323 90.9865 42.5943 W- 1 80.4 3.206 2.35 -31.977 86.6169 3.97504
548 b 0 4.18 -63.09 -0.027 -0.351 63.2293 63.09 b 0 4.18 -7.01 -2.673 -3.549 9.29262 7.50233
549 b 0 4.18 -52.806 -3.015 7.943 53.6482 52.892 b 0 4.18 -14.894 -30.485 53.157 63.2005 33.9288
550 b 0 4.18 14.06 16.2 -3.376 22.1132 21.4505 b 0 4.18 4.94 73.8 -38.824 83.6398 73.9652
551 W+ 1 80.4 -34.397 -5.31 18.759 89.5958 34.8044 W- 1 80.4 -30.503 -47.79 31.941 103.435 56.6949
552 b 0 4.18 82.948 -2.76 6.3 83.3376 82.9939 b 0 4.18 10.252 -66.24 83.7 107.313 67.0287
553 b 0 4.18 -35.224 4.78 6.216 36.3275 35.5468 b 0 4.18 -16.576 19.12 45.584 52.304 25.3049
554 b 0 4.18 -9.528 49.77 8.1 51.4871 50.6738 b 0 4.18 -69.872 29.23 24.3 79.6521 75.7396
555 W+ 1 80.4 -7.49 -14.82 -25.38 85.9304 16.6052 W- 1 80.4 -67.41 -9.88 -59.22 120.884 68.1302
556 W+ 1 80.4 47.81 19.488 -1.506 95.5615 51.6292 W- 1 80.4 20.49 61.712 -23.594 106.062 65.0247
557 b 0 4.18 -11.22 0.008 -61.908 63.0552 11.22 b 0 4.18 -82.28 0.192 -11.792 83.2259 82.2802
558 b 0 4.18 -12.42 -2.718 -3.899 13.9398 12.7139 b 0 4.18 -1.38 -87.882 -51.801 102.108 87.8928
559 b 0 4.18 2.64 -29.865 -0.947 30.2863 29.9815 b 0 4.18 1.36 -60.635 -93.753 111.739 60.6503
560 b 0 4.18 -1.53 -4.224 -4.743 7.75574 4.49256 b 0 4.18 -1.47 -8.976 -23.157 25.2279 9.09557
561 b 0 4.18 57.456 -0.915 14.766 59.4772 57.4633 b 0 4.18 18.144 -90.585 49.434 104.862 92.3842
562 tau+ 0 1.77 -2.09 36.676 -33.624 49.8317 36.7355 tau- 0 1.77 -16.91 32.524 -59.776 70.1432 36.6573
563 b 0 4.18 -2.226 -10.24 -12.278 16.6744 10.4792 b 0 4.18 -34.874 -2.56 -75.422 83.2388 34.9678
564 b 0 4.18 42.532 -1.42 -6.392 43.2356 42.5557 b 0 4.18 26.068 -34.08 -12.408 44.86 42.9067
565 b 0 4.18 7.07 -19.372 -42.822 47.7122 20.6218 b 0 4.18 63.63 -47.428 -27.378 84.0549 79.3611
566 W+ 1 80.4 -29.64 12.838 -5.66 86.8305 32.3008 W- 1 80.4 -9.36 78.862 -50.94 123.959 79.4155
567 b 0 4.18 20.288 27.173 -6.258 34.7363 33.9113 b 0 4.18 11.412 66.527 -83.142 107.173 67.4987
568 W+ 1 80.4 12.988 35.712 15.98 90.3524 38.0005 W- 1 80.4 63.412 63.488 18.02 121.822 89.7319
569 b 0 4.18 -37.525 0.51 0 37.7605 37.5285 b 0 4.18 -1.975 9.69 94.2 94.8099 9.88922
570 W+ 1 80.4 -12.699 -0.891 5.088 81.5604 12.7302 W- 1 80.4 -2.601 -9.009 58.512 99.8786 9.37695
571 b 0 4.18 82.81 -1.416 0 82.9275 82.8221 b 0 4.18 1.69 -69.384 71.4 99.6616 69.4046
572 W+ 1 80.4 0.09 -22.134 -10.387 84.0355 22.1342 W- 1 80.4 4.41 -21.266 -11.713 84.1014 21.7184
573 b 0 4.18 36.521 -22.698 -1.028 43.2147 42.9998 b 0 4.18 25.379 -35.502 -50.372 66.778 43.6404
574 b 0 4.18 -12.903 0.526 23.14 26.8272 12.9137 b 0 4.18 -26.197 25.774 12.46 39.0295 36.7503
575 b 0 4.18 65.835 -0.769 -18.568 68.5353 65.8395 b 0 4.18 19.665 -76.131 -65.832 102.635 78.6298
576 b 0 4.18 3.84 29.274 -22.274 37.2198 29.5248 b 0 4.18 60.16 28.126 -29.526 72.798 66.4101
577 b 0 4.18 -0.904 15.75 33.11 36.9137 15.7759 b 0 4.18 -44.296 9.25 61.49 76.4604 45.2515
578 Z 1 91.2 -70.295 -4.396 0.144 115.231 70.4323 Z 1 91.2 -12.405 -58.404 1.656 109.019 59.7069
579 b 0 4.18 11.925 -36.057 1.164 38.2249 37.9778 b 0 4.18 14.575 -34.643 27.936 47.0155 37.5841
580 tau+ 0 1.77 38.544 -6 -3.348 39.1916 39.0082 tau- 0 1.77 49.056 -24 -5.952 54.9641 54.6122
581 b 0 4.18 -34.232 -11.136 27.424 45.4465 35.9978 b 0 4.18 -43.568 -35.264 58.276 80.9647 56.051
582 b 0 4.18 -21.96 -8.36 23.94 33.8042 23.4975 b 0 4.18 -69.54 -12.54 42.56 82.5947 70.6616
583 b 0 4.18 -0.153 -0.236 -6.688 7.89182 0.281256 b 0 4.18 -1.547 -0.164 -14.212 14.8954 1.55567
584 b 0 4.18 -29.712 9.282 2.16 31.4817 31.1281 b 0 4.18 -32.188 18.018 9.84 38.4059 36.8879
585 b 0 4.18 -2.7 -31.964 0.51 32.3531 32.0778 b 0 4.18 -27.3 -20.436 1.19 34.3774 34.1016
586 b 0 4.18 -28.046 -11.029 -12.144 32.7592 30.1366 b 0 4.18 -47.754 -15.871 -43.056 66.3598 50.3223
587 b 0 4.18 -7.581 25.317 11.69 29.1985 26.4277 b 0 4.18 -5.719 61.983 71.81 95.1249 62.2463
588 b 0 4.18 64.19 0.592 -0.994 64.3364 64.1927 b 0 4.18 1.31 58.608 -98.406 114.62 58.6226
589 b 0 4.18 2.504 -20.544 20.48 29.4148 20.696 b 0 4.18 60.096 -11.556 43.52 75.2099 61.197
590 b 0 4.18 0.704 24.986 -7.695 26.4855 24.9959 b 0 4.18 5.696 15.314 -20.805 26.7821 16.339
591 b 0 4.18 -17.574 7.59 -4.092 20.0168 19.143 b 0 4.18 -12.726 17.71 -30.008 37.3302 21.8081
592 b 0 4.18 -4.131 -5.7 -10.88 13.6162 7.03954 b 0 4.18 -41.769 -1.9 -57.12 70.9114 41.8122
593 b 0 4.18 6.176 18.768 -7.808 21.6522 19.7581 b 0 4.18 32.424 62.832 -4.992 71.004 70.7049
594 b 0 4.18 31.119 -0.759 -46.342 55.9823 31.1283 b 0 4.18 44.781 -75.141 -33.558 93.7823 87.4729
595 b 0 4.18 57.51 -0.732 -2.38 57.7155 57.5147 b 0 4.18 6.39 -23.668 -31.62 40.2281 24.5154
596 W+ 1 80.4 -13.908 -23.591 8.525 85.3628 27.3855 W- 1 80.4 -22.692 -52.509 18.975 100.481 57.2025
597 b 0 4.18 5.92 -7.22 -32.144 33.7325 9.33674 b 0 4.18 68.08 -64.98 -7.056 94.4698 94.1132
598 b 0 4.18 13.299 -4.856 -21.995 26.4896 14.1578 b 0 4.18 20.801 -55.844 -19.505 62.8423 59.5922
599 W+ 1 80.4 -89.474 0.898 0.793 120.296 89.4785 W- 1 80.4 -1.826 88.902 78.507 143.298 88.9208
600 W+ 1 80.4 26.16 11.808 -8.338 85.7756 28.7015 W- 1 80.4 28.34 16.992 -67.462 110.033 33.0437
601 b 0 4.18 -58.748 -0.019 -22.471 63.0377 58.748 b 0 4.18 -18.552 -1.881 -75.229 77.6182 18.6471
602 b 0 4.18 43.659 -7.596 -4.27 44.7159 44.3149 b 0 4.18 10.241 -55.704 -56.73 80.2719 56.6376
603 W+ 1 80.4 10.491 -9.486 -36.851 89.5667 14.1437 W- 1 80.4 16.409 -43.214 -48.849 104.819 46.2245
604 b 0 4.18 50.786 6.692 -15.599 53.7104 51.225 b 0 4.18 25.014 41.108 -66.501 82.1914 48.1203
605 W+ 1 80.4 2.553 7.464 3.283 80.8528 7.88854 W- 1 80.4 1.147 23.636 43.617 94.4806 23.6638
606 tau+ 0 1.77 0.256 -27.6 6.9 28.5056 27.6012 tau- 0 1.77 6.144 -27.6 8.1 29.4661 28.2756
607 b 0 4.18 18.905 -1.612 -2.568 19.5976 18.9736 b 0 4.18 0.995001 -78.988 -83.032 114.682 78.9943
608 b 0 4.18 7.458 -18.495 38.199 43.2935 19.9421 b 0 4.18 26.442 -50.005 36.701 67.5582 56.5657
609 b 0 4.18 -31.86 -18.081 -5.73 37.3134 36.6331 b 0 4.18 -56.64 -18.819 -32.47 68.0736 59.6845
610 W+ 1 80.4 -2.62 25.168 -30.6 89.6706 25.304 W- 1 80.4 -49.78 32.032 -29.4 104.08 59.1954
611 b 0 4.18 -32.04 -4.56 -7.952 33.5866 32.3629 b 0 4.18 -21.36 -33.44 -20.448 44.8339 39.6798
612 b 0 4.18 0.393 14.706 38.556 41.4784 14.7112 b 0 4.18 38.907 11.094 53.244 67.0017 40.4578
613 W+ 1 80.4 12.284 -9.22 1.68 81.8712 15.3592 W- 1 80.4 4.316 -36.88 26.32 92.3887 37.1317
614 b 0 4.18 -8.676 -4.608 -11.825 15.9314 9.82378 b 0 4.18 -15.424 -46.592 -9.675 50.1975 49.0787
615 W+ 1 80.4 -33.108 21.186 3.904 89.5789 39.3063 W- 1 80.4 -20.292 75.114 20.496 113.746 77.8067
616 b 0 4.18 46.656 0.158 0.842 46.8507 46.6563 b 0 4.18 1.944 7.742 41.258 42.2305 7.98234
617 W+ 1 80.4 -21.66 -23.52 -7.308 86.8327 31.9741 W- 1 80.4 -50.54 -32.48 -18.792 102.11 60.077
618 b 0 4.18 2.576 39.6 0.728 39.9099 39.6837 b 0 4.18 13.524 9.9 17.472 24.5693 16.7603
619 b 0 4.18 -0.27 25.346 -39.864 47.4247 25.3474 b 0 4.18 -5.13 62.054 -20.536 65.6979 62.2657
620 b 0 4.18 16.523 -28.9 7.623 34.4064 33.2899 b 0 4.18 23.777 -28.9 77.077 85.784 37.424
621 W+ 1 80.4 15.266 29.158 2.695 86.9176 32.9126 W- 1 80.4 29.634 18.642 51.205 101.547 35.01
622 b 0 4.18 -3.861 -24.192 0.39 24.8553 24.4982 b 0 4.18 -25.839 -9.408 2.21 27.902 27.4984
623 W+ 1 80.4 -17.366 -6.6 11.571 83.3258 18.5779 W- 1 80.4 -74.034 -20.9 8.729 111.616 76.9275
624 b 0 4.18 8.624 -11.77 -23.432 27.9184 14.5913 b 0 4.18 8.976 -41.73 -57.368 71.6277 42.6844
625 b 0 4.18 24.168 2.856 -18.92 31.1077 24.3362 b 0 4.18 21.432 92.344 -24.08 97.8982 94.7984
626 Z 1 91.2 -67.26 -0.741 14.469 114.242 67.2641 Z 1 91.2 -21.24 -23.959 54.431 110.929 32.0183
627 b 0 4.18 -11.016 0.186 -17.554 21.1424 11.0176 b 0 4.18 -29.784 2.914 -8.646 31.4293 29.9262
628 b 0 4.18 27.95 1.056 0.28 28.2819 27.9699 b 0 4.18 4.55 25.344 2.52 26.2077 25.7492
629 b 0 4.18 17.226 -3.752 3.276 18.4124 17.6299 b 0 4.18 2.574 -90.048 33.124 96.0726 90.0848
630 b 0 4.18 44.55 16.674 -22.736 52.8878 47.5681 b 0 4.18 44.55 62.726 -55.664 95.0537 76.9367
631 b 0 4.18 -7.544 1.832 -28.125 29.4747 7.76326 b 0 4.18 -25.256 89.768 -9.375 93.8164 93.2532
632 b 0 4.18 -7.844 -6.968 6.952 13.2621 10.492 b 0 4.18 -13.356 -6.432 56.248 58.3186 14.8241
633 W+ 1 80.4 -35.217 -17.598 -33.336 95.5268 39.3691 W- 1 80.4 -46.683 -66.202 -59.264 128.602 81.0062
634 b 0 4.18 -32.967 -21.571 3.74 39.7944 39.3971 b 0 4.18 -56.133 -19.129 33.66 68.3176 59.3029
635 b 0 4.18 66.33 -5.411 1.521 66.6988 66.5503 b 0 4.18 7.37 -71.889 49.179 87.5122 72.2658
636 b 0 4.18 23.128 8.568 13.5 28.426 24.664 b 0 4.18 59.472 62.832 9 87.0819 86.5146
637 b 0 4.18 38.475 0.645 -1.268 38.7275 38.4804 b 0 4.18 2.025 20.855 -62.132 65.703 20.9531
638 b 0 4.18 -68.886 0.55 8.592 69.5477 68.8882 b 0 4.18 -11.214 26.95 63.008 69.5668 29.19
639 b 0 4.18 18.74 -16.646 27.456 37.411 25.0655 b 0 4.18 74.96 -23.954 42.944 89.7466 78.6943
640 b 0 4.18 1.536 -8.43 -19.058 21.3097 8.56879 b 0 4.18 0.864 -75.87 -54.242 93.3631 75.8749
641 tau+ 0 1.77 35.238 -23.463 0.575 42.3756 42.3347 tau- 0 1.77 48.662 -47.637 1.725 68.1424 68.0975
642 b 0 4.18 -38.368 -4.518 0.054 38.8586 38.6331 b 0 4.18 -5.232 -45.682 1.746 46.2032 45.9806
643 b 0 4.18 -33.54 -17.422 1.548 38.0569 37.7949 b 0 4.18 -18.06 -38.778 37.152 56.8123 42.7773
644 b 0 4.18 -64.944 2.824 4.446 65.2912 65.0054 b 0 4.18 -33.456 32.476 12.654 48.4932 46.6261
645 b 0 4.18 -22.2 -13.426 -54.9 60.8653 25.9441 b 0 4.18 -66.6 -82.474 -35.1 111.745 106.007
646 tau+ 0 1.77 -27.84 -14.22 -1.628 31.3537 31.2614 tau- 0 1.77 -68.16 -9.48 -13.172 70.0877 68.8161
647 b 0 4.18 -10.05 -6.08 -3.06 12.8376 11.746 b 0 4.18 -3.35 -54.72 -17.34 57.6511 54.8224
648 b 0 4.18 63.744 -7.35 9.954 65.0682 64.1663 b 0 4.18 35.856 -41.65 37.446 66.6337 54.9579
649 b 0 4.18 -35.776 1.106 -25.704 44.2641 35.7931 b 0 4.18 -33.024 6.794 -49.896 60.3641 33.7156
650 b 0 4.18 74.784 0.789 0.302 74.9055 74.7882 b 0 4.18 3.116 25.511 29.898 39.647 25.7006
651 b 0 4.18 -10.712 -20.842 -0.154 23.804 23.4336 b 0 4.18 -9.888 -40.458 -0.946 41.8687 41.6488
652 W+ 1 80.4 -4.224 -17.874 36.52 90.1953 18.3663 W- 1 80.4 -66.176 -15.226 54.78 118.643 67.905
653 b 0 4.18 -77.519 2.277 -1.804 77.6859 77.5524 b 0 4.18 -9.581 23.023 -88.396 91.9412 24.937
654 W+ 1 80.4 -6.468 35.915 -0.165 88.2944 36.4928 W- 1 80.4 -8.932 29.385 -5.335 86.2316 30.7125
655 Z 1 91.2 -33.748 7.44 25.632 100.84 34.5584 Z 1 91.2 -31.152 54.56 45.568 119.754 62.8271
656 b 0 4.18 -73.824 -0.71 -1.812 73.9678 73.8274 b 0 4.18 -3.076 -34.79 -88.788 95.5018 34.9257
657 b 0 4.18 -22.188 2.92 -0.328 22.7687 22.3793 b 0 4.18 -3.612 26.28 -7.872 27.9844 26.5271
658 tau+ 0 1.77 -8.91 -3.484 3.952 10.5013 9.56694 tau- 0 1.77 -31.59 -9.916 3.648 33.3571 33.1097
659 b 0 4.18 -25.636 21.344 -5.78 34.1123 33.3582 b 0 4.18 -18.564 45.356 -52.02 71.5915 49.008
660 b 0 4.18 62.832 14.26 2.649 64.6196 64.4299 b 0 4.18 32.368 31.74 85.651 96.9984 45.3334
661 W+ 1 80.4 15.906 -58.072 1.411 100.457 60.2109 W- 1 80.4 56.394 -37.128 6.889 105.216 67.5187
662 b 0 4.18 -13.363 -4.56 44.042 46.4385 14.1196 b 0 4.18 -44.737 -23.94 28.158 58.1796 50.7398
663 b 0 4.18 32.319 -19.124 2.925 37.8982 37.5532 b 0 4.18 18.981 -49.176 29.575 60.5864 52.712
664 b 0 4.18 27.566 -1.454 -17.514 32.9577 27.6043 b 0 4.18 8.234 -71.246 -65.886 97.4794 71.7202
665 b 0 4.18 -27.225 -44.16 -1.848 52.0787 51.8778 b 0 4.18 -33.275 -47.84 -24.552 63.3732 58.2743
666 W+ 1 80.4 -25.56 3.276 -4.5 84.5485 25.7691 W- 1 80.4 -2.84 78.624 -70.5 132.756 78.6753
667 b 0 4.18 -75.46 -0.48 -0 75.5772 75.4615 b 0 4.18 -1.54 -23.52 -6.2 24.728 23.5704
668 W+ 1 80.4 -2.94 68.302 16.368 106.798 68.3652 W- 1 80.4 -55.86 27.898 51.832 114.234 62.4391
669 b 0 4.18 -39.552 -2.214 0.67 39.8395 39.6139 b 0 4.18 -1.648 -71.586 66.33 97.6955 71.605
670 W+ 1 80.4 -71.706 -5.46 0 107.869 71.9136 W- 1 80.4 -25.194 -15.54 87.9 122.747 29.6012
671 b 0 4.18 13.482 -2.555 42.135 44.5098 13.722 b 0 4.18 18.618 -48.545 37.365 64.1628 51.9928
672 b 0 4.18 -14.028 0.446 -7.28 16.354 14.0351 b 0 4.18 -36.072 21.854 -3.12 42.497 42.1757
673 b 0 4.18 -16.154 -0.709 5.236 17.5026 16.1696 b 0 4.18 -3.546 -70.191 25.564 74.9022 70.2805
674 b 0 4.18 67.914 -0.589 -0.696 68.0486 67.9165 b 0 4.18 20.286 -2.511 -16.704 26.7268 20.4408
675 W+ 1 80.4 9.828 -16.074 -34.344 89.4351 18.8405 W- 1 80.4 25.272 -73.226 -29.256 115.416 77.4643
676 b 0 4.18 15.785 -1.9 -0.088 16.4395 15.8989 b 0 4.18 4.715 -8.1 -2.112 10.4773 9.37236
677 b 0 4.18 9.272 -38.88 22.386 46.0025 39.9703 b 0 4.18 39.528 -58.32 32.214 77.5816 70.4534
678 b 0 4.18 8.03 -1.242 15.695 18.1612 8.12548 b 0 4.18 64.97 -1.458 20.805 68.3633 64.9864
679 b 0 4.18 58.996 -0.955 0.42 59.1531 59.0037 b 0 4.18 1.204 -94.545 41.58 103.376 94.5527
680 b 0 4.18 -82.834 3.6 4.78 83.155 82.9122 b 0 4.18 -16.966 26.4 90.82 96.1798 31.3816
681 b 0 4.18 19.251 -0.56 -3.39 19.997 19.2591 b 0 4.18 1.449 -55.44 -53.11 76.9015 55.4589
682 b 0 4.18 -8.838 31.017 32.736 46.1441 32.2516 b 0 4.18 -40.262 32.283 66.464 84.2506 51.6064
683 W+ 1 80.4 43.29 -7.208 0.27 91.5981 43.886 W- 1 80.4 4.81 -82.892 13.23 116.333 83.0314
684 tau+ 0 1.77 7.425 19.049 10.944 23.2572 20.4449 tau- 0 1.77 22.275 25.251 23.256 40.9605 33.6718
685 b 0 4.18 -21.266 -9.284 -1.624 23.6336 23.2042 b 0 4.18 -22.134 -32.916 -3.976 40.0831 39.6658
686 b 0 4.18 -42.435 -2.03 -15.621 45.457 42.4835 b 0 4.18 -51.865 -12.47 -22.479 58.0367 53.343
687 b 0 4.18 -11.904 -9.711 -15.1 21.9429 15.3626 b 0 4.18 -7.296 -64.989 -45.3 79.6641 65.3973
688 b 0 4.18 14.444 -22.264 -1.35 26.9 26.5389 b 0 4.18 16.956 -28.336 -12.15 35.4335 33.0217
689 b 0 4.18 -58.565 10.425 -17 62.0082 59.4856 b 0 4.18 -31.535 59.075 -68 95.529 66.965
690 tau+ 0 1.77 4.505 5.61 9.12 11.7505 7.19494 tau- 0 1.77 3.995 27.39 21.28 34.9592 27.6798
691 b 0 4.18 -43.505 40.905 -0 59.8613 59.7152 b 0 4.18 -35.595 49.995 -84.1 104.196 61.3719
692 b 0 4.18 9.456 24.166 -20.131 33.108 25.9502 b 0 4.18 49.644 32.034 -28.969 65.9347 59.0822
693 b 0 4.18 -20.664 -9.285 -0.983 23.0576 22.6542 b 0 4.18 -3.936 -52.615 -97.317 110.779 52.762
694 W+ 1 80.4 -9.016 42.478 3.785 91.4558 43.4243 W- 1 80.4 -23.184 20.922 71.915 112.299 31.2286
695 W+ 1 80.4 39.908 -12.662 -23.88 93.7411 41.8685 W- 1 80.4 50.792 -36.038 -55.72 115.963 62.2781
696 b 0 4.18 -27.588 -1.24 -42.284 50.6759 27.6159 b 0 4.18 -56.012 -23.56 -25.916 66.1931 60.7653
697 W+ 1 80.4 -26.88 14.121 -0.117 85.9425 30.3634 W- 1 80.4 -15.12 38.179 -1.183 90.2874 41.064
698 b 0 4.18 -16.296 -0.713 -19.775 25.9729 16.3116 b 0 4.18 -22.504 -2.387 -36.725 43.3397 22.6302
699 W+ 1 80.4 2.279 21.362 15.1 84.5795 21.4832 W- 1 80.4 2.021 75.738 45.3 119.401 75.765
700 W+ 1 80.4 -24.325 3.96 4.905 84.2354 24.6452 W- 1 80.4 -72.975 2.04 49.595 119.387 73.0035
701 b 0 4.18 -12.104 5.18 8.832 16.3956 13.1658 b 0 4.18 -59.096 8.82 10.368 60.7873 59.7506
702 b 0 4.18 -53.679 -4.832 -0.005 54.0579 53.896 b 0 4.18 -8.021 -55.568 -0.095 56.2994 56.1439
703 b 0 4.18 24.832 -9.9 41.6 49.6253 26.7327 b 0 4.18 52.768 -45.1 41.6 81.034 69.4152
704 W+ 1 80.4 -37.28 -5.26 0.97 88.7838 37.6493 W- 1 80.4 -9.32 -47.34 8.73 94.1717 48.2487
705 tau+ 0 1.77 6.669 -19.88 27.101 34.3116 20.9688 tau- 0 1.77 10.431 -79.52 38.999 89.198 80.2012
706 tau+ 0 1.77 19.304 -5.978 5.538 21.0282 20.2084 tau- 0 1.77 31.496 -6.222 37.062 49.0656 32.1047
707 b 0 4.18 -20.768 -9.394 33.694 40.894 22.7938 b 0 4.18 -26.432 -33.306 65.406 78.124 42.5199
708 b 0 4.18 -9.546 -2.784 -43.26 44.5845 9.94368 b 0 4.18 -16.254 -90.016 -28.84 96.0015 91.4717
709 b 0 4.18 -58.776 3.91 -12.24 60.3092 58.9059 b 0 4.18 -36.024 13.09 -69.36 79.3559 38.3285
710 b 0 4.18 39.803 7.544 -2.868 40.8275 40.5116 b 0 4.18 35.297 10.856 -44.932 58.3103 36.9287
711 b 0 4.18 -38.87 18.24 7.029 43.7087 42.9369 b 0 4.18 -20.93 57.76 56.871 83.8216 61.4352
712 b 0 4.18 30.806 11.764 -5.99 33.775 32.9758 b 0 4.18 11.394 57.436 -53.91 79.7024 58.5552
713 b 0 4.18 22.748 -1.372 0.484 23.1746 22.7893 b 0 4.18 1.452 -67.228 11.616 68.3675 67.2437
714 W+ 1 80.4 27.984 16.796 7.254 87.0746 32.6376 W- 1 80.4 30.316 47.804 20.646 100.472 56.6064
715 W+ 1 80.4 -24.752 6.75 -2.615 84.4347 25.6559 W- 1 80.4 -11.648 18.25 -49.685 96.9613 21.6504
716 b 0 4.18 45.95 6.152 -6.636 47.0187 46.36 b 0 4.18 45.95 70.748 -9.164 84.9596 84.3604
717 b 0 4.18 -34.58 18.55 -11.388 41.0736 39.2413 b 0 4.18 -56.42 18.55 -83.512 102.562 59.3912
